"Word","Length","SUBTLWF","Ortho_N","Concreteness_Rating","Semantic_Neighbors","Semantic_Diversity","Age_Of_Acquisition","Pron","NSyll","I_NMG_Mean_RT","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"plash","5","0.100","6","#","#","#","#","pl""aS","1","#","#","#"
"plashed","7","#","4","#","#","#","#","pl""aSt","1","#","#","#"
"PLATH","5","#","3","#","#","#","#","pl""aT","1","#","#","#"
"PLAYA","5","0.430","2","#","#","#","#","pl""aI@","1","#","#","#"
"pleach","6","#","2","#","#","#","#","""plitS","1","#","#","#"
"pleached","8","#","3","#","#","#","#","""plitSt","1","#","#","#"
"pleb","4","#","2","#","#","#","#","pl""Eb","1","#","#","#"
"plebs","5","0.020","2","#","#","#","#","pl""Ebz","1","#","#","#"
"pled","4","0.240","8","#","#","#","#","""plEd","1","#","#","#"
"plies","5","0.060","3","#","#","#","#","pl""aIz","1","#","#","#"
"plights","7","#","4","#","#","#","#","pl""aIts","1","#","#","#"
"plinth","6","#","0","#","#","#","#","pl""InT","1","#","#","#"
"plinths","7","#","0","#","#","#","#","pl""InTs","1","#","#","#"
"plods","5","0.040","6","#","#","#","#","pl""Adz","1","#","#","#"
"plonk","5","0.060","2","#","#","#","#","pl""ANk","1","#","#","#"
"plonked","7","0.020","2","#","#","#","#","pl""ANkt","1","#","#","#"
"plonks","6","#","2","#","#","#","#","pl""ANks","1","#","#","#"
"plops","5","0.060","9","#","#","#","#","pl""Aps","1","#","#","#"
"ploughed","8","0.200","0","#","#","#","#","pl""aUd","1","#","#","#"
"ploughs","7","0.080","1","#","#","#","#","pl""aUz","1","#","#","#"
"ploys","5","0.020","6","#","#","#","#","pl""OIz","1","#","#","#"
"plucks","6","0.200","3","#","#","#","#","pl""Vks","1","#","#","#"
"plumbs","6","#","2","#","#","#","#","pl""Vmz","1","#","#","#"
"plumes","6","0.350","5","#","#","#","#","pl""umz","1","#","#","#"
"plumps","6","#","4","#","#","#","#","pl""Vmps","1","#","#","#"
"plums","5","1.040","5","#","#","#","#","pl""Vmz","1","#","#","#"
"plunk","5","0.140","6","#","#","#","#","pl""VNk","1","#","#","#"
"plunked","7","0.040","6","#","#","#","#","pl""@Nkt","1","#","#","#"
"plunks","6","0.040","5","#","#","#","#","pl""VNks","1","#","#","#"
"PO","2","2.610","18","#","#","#","#","p""o","1","#","#","#"
"poached","7","1.220","6","#","#","#","#","p""otSt","1","#","#","#"
